,country,all_articles_count,high_qual_articles_count,population,coverage,quality
0,Afghanistan,320,12.0,36500000.0,8.767123287671233e-06,0.0375
1,Albania,457,3.0,2900000.0,0.00015758620689655174,0.006564551422319475
2,Algeria,116,2.0,42700000.0,2.7166276346604215e-06,0.017241379310344827
3,Andorra,34,0.0,80000.0,0.000425,0.0
4,Angola,106,0.0,30400000.0,3.486842105263158e-06,0.0
5,Antigua and Barbuda,24,0.0,100000.0,0.00024,0.0
6,Argentina,491,12.0,44500000.0,1.103370786516854e-05,0.024439918533604887
7,Armenia,195,5.0,3000000.0,6.5e-05,0.02564102564102564
8,Australia,1561,39.0,24100000.0,6.477178423236514e-05,0.024983984625240232
9,Austria,333,3.0,8800000.0,3.784090909090909e-05,0.009009009009009009
10,Azerbaijan,179,1.0,9900000.0,1.808080808080808e-05,0.00558659217877095
11,Bahamas,20,0.0,400000.0,5e-05,0.0
12,Bahrain,42,1.0,1500000.0,2.8e-05,0.023809523809523808
13,Bangladesh,319,3.0,166400000.0,1.917067307692308e-06,0.009404388714733543
14,Barbados,14,0.0,300000.0,4.6666666666666665e-05,0.0
15,Belarus,72,2.0,9500000.0,7.578947368421053e-06,0.027777777777777776
16,Belgium,520,1.0,11400000.0,4.56140350877193e-05,0.0019230769230769232
17,Belize,16,0.0,400000.0,4e-05,0.0
18,Benin,91,7.0,11500000.0,7.91304347826087e-06,0.07692307692307693
19,Bhutan,33,3.0,800000.0,4.125e-05,0.09090909090909091
20,Bolivia,183,2.0,11300000.0,1.6194690265486724e-05,0.01092896174863388
21,Bosnia-Herzegovina,170,5.0,3500000.0,4.857142857142857e-05,0.029411764705882353
22,Botswana,66,1.0,2200000.0,3e-05,0.015151515151515152
23,Brazil,547,6.0,209400000.0,2.612225405921681e-06,0.010968921389396709
24,Bulgaria,223,2.0,7000000.0,3.185714285714286e-05,0.008968609865470852
25,Burkina Faso,95,3.0,20300000.0,4.6798029556650245e-06,0.031578947368421054
26,Burundi,75,2.0,11800000.0,6.3559322033898304e-06,0.02666666666666667
27,Cambodia,213,4.0,16000000.0,1.33125e-05,0.018779342723004695
28,Cameroon,103,0.0,25600000.0,4.0234375e-06,0.0
29,Canada,843,22.0,37200000.0,2.2661290322580645e-05,0.02609727164887307
30,Cape Verde,37,0.0,600000.0,6.166666666666667e-05,0.0
31,Central African Republic,66,8.0,4700000.0,1.4042553191489362e-05,0.12121212121212122
32,Chad,97,2.0,15400000.0,6.298701298701299e-06,0.020618556701030927
33,Chile,348,3.0,18600000.0,1.870967741935484e-05,0.008620689655172414
34,China,1130,41.0,1393800000.0,8.107332472377673e-07,0.036283185840707964
35,Colombia,285,1.0,49800000.0,5.72289156626506e-06,0.0035087719298245615
36,Comoros,51,0.0,800000.0,6.375e-05,0.0
37,Congo,147,1.0,5400000.0,2.7222222222222223e-05,0.006802721088435374
38,Costa Rica,147,0.0,5000000.0,2.94e-05,0.0
39,Croatia,164,3.0,4099999.9999999995,4e-05,0.018292682926829267
40,Cuba,172,2.0,11100000.0,1.5495495495495494e-05,0.011627906976744186
41,Cyprus,97,1.0,1200000.0,8.083333333333334e-05,0.010309278350515464
42,Denmark,287,3.0,5800000.0,4.9482758620689655e-05,0.010452961672473868
43,Djibouti,37,0.0,1000000.0,3.7e-05,0.0
44,Dominica,12,1.0,70000.0,0.00017142857142857143,0.08333333333333333
45,Dominican Republic,64,1.0,10800000.0,5.925925925925926e-06,0.015625
46,Ecuador,183,2.0,17000000.0,1.0764705882352941e-05,0.01092896174863388
47,Egypt,235,9.0,97000000.0,2.422680412371134e-06,0.03829787234042553
48,Equatorial Guinea,30,1.0,1300000.0,2.3076923076923076e-05,0.03333333333333333
49,Eritrea,16,0.0,6000000.0,2.666666666666667e-06,0.0
50,Estonia,149,0.0,1300000.0,0.00011461538461538461,0.0
51,Ethiopia,101,2.0,107500000.0,9.395348837209303e-07,0.019801980198019802
52,Federated States of Micronesia,36,0.0,100000.0,0.00036,0.0
53,Fiji,197,1.0,900000.0,0.00021888888888888888,0.005076142131979695
54,Finland,569,0.0,5500000.0,0.00010345454545454545,0.0
55,France,1681,23.0,65099999.99999999,2.5821812596006148e-05,0.013682331945270671
56,Gabon,97,4.0,2100000.0,4.6190476190476194e-05,0.041237113402061855
57,Gambia,82,5.0,2200000.0,3.7272727272727276e-05,0.06097560975609756
58,Germany,688,13.0,82800000.0,8.309178743961353e-06,0.0188953488372093
59,Ghana,391,5.0,29500000.0,1.3254237288135593e-05,0.01278772378516624
60,Greece,308,7.0,10600000.0,2.9056603773584905e-05,0.022727272727272728
61,Grenada,36,1.0,100000.0,0.00036,0.027777777777777776
62,Guatemala,83,6.0,17200000.0,4.825581395348837e-06,0.07228915662650602
63,Guinea,87,2.0,11900000.0,7.310924369747899e-06,0.022988505747126436
64,Guinea-Bissau,20,1.0,1900000.0,1.0526315789473684e-05,0.05
65,Guyana,20,0.0,800000.0,2.5e-05,0.0
66,Haiti,162,3.0,10800000.0,1.5e-05,0.018518518518518517
67,Hungary,610,8.0,9800000.0,6.224489795918368e-05,0.013114754098360656
68,Iceland,201,2.0,400000.0,0.0005025,0.009950248756218905
69,India,980,17.0,1371300000.0,7.146503318019398e-07,0.017346938775510204
70,Indonesia,210,10.0,265200000.0,7.918552036199095e-07,0.047619047619047616
71,Iran,816,12.0,81600000.0,1e-05,0.014705882352941176
72,Iraq,298,9.0,40200000.0,7.412935323383084e-06,0.030201342281879196
73,Ireland,376,21.0,4900000.0,7.673469387755103e-05,0.05585106382978723
74,Israel,493,20.0,8500000.0,5.8e-05,0.04056795131845842
75,Italy,822,6.0,60600000.0,1.3564356435643564e-05,0.0072992700729927005
76,Jamaica,82,3.0,2900000.0,2.8275862068965518e-05,0.036585365853658534
77,Japan,437,8.0,126500000.0,3.4545454545454545e-06,0.018306636155606407
78,Jordan,48,1.0,10200000.0,4.705882352941176e-06,0.020833333333333332
79,Kazakhstan,78,0.0,18400000.0,4.239130434782608e-06,0.0
80,Kenya,376,7.0,51000000.0,7.372549019607843e-06,0.018617021276595744
81,Kiribati,30,0.0,100000.0,0.0003,0.0
82,"Korea, North",36,7.0,25600000.0,1.40625e-06,0.19444444444444445
